,atm_name,weekday,festival_religion,working_day,holiday_sequence,trans_date_set,trans_month,trans_year,prevweek_mean,total_amount_withdrawn
11,Mount Road ATM,MONDAY,NH,W,WWW,1,1,2011,648600,897100
16,Mount Road ATM,TUESDAY,NH,W,WWW,1,1,2011,648600,826000
21,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,1,2011,648600,754400
26,Mount Road ATM,THURSDAY,NH,W,WWW,2,1,2011,648600,834200
31,Mount Road ATM,FRIDAY,NH,W,WWW,2,1,2011,648600,575300
36,Mount Road ATM,SATURDAY,NH,H,WHH,2,1,2011,648600,792700
41,Mount Road ATM,SUNDAY,NH,H,HHW,2,1,2011,648600,751800
46,Mount Road ATM,MONDAY,NH,W,HWW,2,1,2011,775929,702200
51,Mount Road ATM,TUESDAY,NH,W,WWW,3,1,2011,775929,506000
56,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,1,2011,775929,647600
61,Mount Road ATM,THURSDAY,NH,W,WWW,3,1,2011,775929,506300
66,Mount Road ATM,FRIDAY,NH,W,WWH,3,1,2011,775929,451400
71,Mount Road ATM,SATURDAY,H,H,WHH,3,1,2011,775929,200500
76,Mount Road ATM,SUNDAY,H,H,HHH,4,1,2011,775929,205300
81,Mount Road ATM,MONDAY,H,H,HHW,4,1,2011,459900,221900
86,Mount Road ATM,TUESDAY,NH,W,HWW,4,1,2011,459900,405200
91,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,1,2011,459900,537700
96,Mount Road ATM,THURSDAY,NH,W,WWW,4,1,2011,459900,565500
101,Mount Road ATM,FRIDAY,NH,W,WWH,5,1,2011,459900,450400
106,Mount Road ATM,SATURDAY,NH,H,WHH,5,1,2011,459900,455600
111,Mount Road ATM,SUNDAY,NH,H,HHW,5,1,2011,459900,352100
116,Mount Road ATM,MONDAY,NH,W,HWW,5,1,2011,426915,498900
121,Mount Road ATM,TUESDAY,NH,W,WHW,5,1,2011,426915,439300
126,Mount Road ATM,WEDNESDAY,N,H,WHW,6,1,2011,426915,255400
131,Mount Road ATM,THURSDAY,NH,W,HWW,6,1,2011,426915,461500
136,Mount Road ATM,FRIDAY,NH,W,WWH,6,1,2011,426915,336300
141,Mount Road ATM,SATURDAY,NH,H,WHH,6,1,2011,426915,428000
146,Mount Road ATM,SUNDAY,NH,H,HHW,6,1,2011,426915,296400
151,Mount Road ATM,MONDAY,NH,W,HWW,7,1,2011,387972,515100
156,Mount Road ATM,TUESDAY,NH,W,WWW,1,2,2011,387972,631800
161,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,2,2011,387972,714900
166,Mount Road ATM,THURSDAY,NH,W,WWW,1,2,2011,387972,593000
171,Mount Road ATM,FRIDAY,NH,W,WWH,1,2,2011,387972,615700
176,Mount Road ATM,SATURDAY,NH,H,WHH,1,2,2011,387972,1007100
181,Mount Road ATM,SUNDAY,NH,H,HHW,2,2,2011,387972,499900
186,Mount Road ATM,MONDAY,NH,W,HWW,2,2,2011,653929,622800
191,Mount Road ATM,TUESDAY,NH,W,WWW,2,2,2011,653929,620200
196,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,2,2011,653929,649100
201,Mount Road ATM,THURSDAY,NH,W,WWW,2,2,2011,653929,508500
206,Mount Road ATM,FRIDAY,NH,W,WWW,3,2,2011,653929,462500
211,Mount Road ATM,SATURDAY,NH,H,WHH,3,2,2011,653929,357100
216,Mount Road ATM,SUNDAY,NH,H,HHW,3,2,2011,653929,359400
221,Mount Road ATM,MONDAY,NH,W,HWW,3,2,2011,511372,413100
226,Mount Road ATM,TUESDAY,NH,W,WWH,3,2,2011,511372,499900
231,Mount Road ATM,WEDNESDAY,M,H,WHW,4,2,2011,511372,317300
236,Mount Road ATM,THURSDAY,NH,W,HWW,4,2,2011,511372,549900
241,Mount Road ATM,FRIDAY,NH,W,WWH,4,2,2011,511372,484200
246,Mount Road ATM,SATURDAY,NH,H,WHH,4,2,2011,511372,441400
251,Mount Road ATM,SUNDAY,NH,H,HHW,4,2,2011,511372,407300
256,Mount Road ATM,MONDAY,NH,W,HWW,5,2,2011,444729,456400
261,Mount Road ATM,TUESDAY,NH,W,WWW,5,2,2011,444729,479200
266,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,2,2011,444729,379700
271,Mount Road ATM,THURSDAY,NH,W,WWW,5,2,2011,444729,391600
276,Mount Road ATM,FRIDAY,NH,W,WWH,5,2,2011,444729,339300
281,Mount Road ATM,SATURDAY,NH,H,WHH,6,2,2011,444729,470600
286,Mount Road ATM,SUNDAY,NH,H,HHW,6,2,2011,444729,8100
291,Mount Road ATM,MONDAY,NH,W,HWW,6,2,2011,360700,572800
296,Mount Road ATM,TUESDAY,NH,W,WWW,1,3,2011,360700,730000
301,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,3,2011,360700,610800
306,Mount Road ATM,THURSDAY,H,W,WWW,1,3,2011,360700,766800
311,Mount Road ATM,FRIDAY,NH,W,WWH,1,3,2011,360700,738900
316,Mount Road ATM,SATURDAY,NH,H,WHH,1,3,2011,360700,1005600
321,Mount Road ATM,SUNDAY,NH,H,HHW,2,3,2011,360700,668600
326,Mount Road ATM,MONDAY,NH,W,HWW,2,3,2011,727643,644900
331,Mount Road ATM,TUESDAY,NH,W,WWW,2,3,2011,727643,950400
336,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,3,2011,727643,620900
341,Mount Road ATM,THURSDAY,NH,W,WWW,2,3,2011,727643,529900
346,Mount Road ATM,FRIDAY,NH,W,WWW,3,3,2011,727643,441100
351,Mount Road ATM,SATURDAY,NH,H,WHH,3,3,2011,727643,502900
356,Mount Road ATM,SUNDAY,NH,H,HHW,3,3,2011,727643,301800
361,Mount Road ATM,MONDAY,NH,W,HWW,3,3,2011,570272,566800
366,Mount Road ATM,TUESDAY,NH,W,WWW,3,3,2011,570272,513000
371,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,3,2011,570272,525600
376,Mount Road ATM,THURSDAY,NH,W,WWW,4,3,2011,570272,395500
381,Mount Road ATM,FRIDAY,NH,W,WWH,4,3,2011,570272,533600
386,Mount Road ATM,SATURDAY,NH,H,WHH,4,3,2011,570272,544000
391,Mount Road ATM,SUNDAY,H,H,HHW,4,3,2011,570272,395200
396,Mount Road ATM,MONDAY,NH,W,HWW,5,3,2011,496243,336000
401,Mount Road ATM,TUESDAY,NH,W,WWW,5,3,2011,496243,288500
406,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,3,2011,496243,465300
411,Mount Road ATM,THURSDAY,NH,W,WWW,5,3,2011,496243,365900
416,Mount Road ATM,FRIDAY,NH,W,WWH,5,3,2011,496243,390200
421,Mount Road ATM,SATURDAY,NH,H,WHH,6,3,2011,496243,320500
426,Mount Road ATM,SUNDAY,NH,H,HHW,6,3,2011,496243,332700
431,Mount Road ATM,MONDAY,NH,W,HWW,6,3,2011,357015,410200
436,Mount Road ATM,TUESDAY,NH,W,WWW,6,3,2011,357015,538800
441,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,3,2011,357015,475100
446,Mount Road ATM,THURSDAY,NH,W,WWW,7,3,2011,357015,456500
451,Mount Road ATM,FRIDAY,NH,W,WWH,1,4,2011,357015,464800
456,Mount Road ATM,SATURDAY,NH,H,WHH,1,4,2011,357015,776400
461,Mount Road ATM,SUNDAY,NH,H,HHW,1,4,2011,357015,445500
466,Mount Road ATM,MONDAY,H,W,HWW,1,4,2011,509615,608500
471,Mount Road ATM,TUESDAY,NH,W,WWW,1,4,2011,509615,734200
476,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,4,2011,509615,638500
481,Mount Road ATM,THURSDAY,NH,W,WWW,2,4,2011,509615,688000
486,Mount Road ATM,FRIDAY,NH,W,WWH,2,4,2011,509615,774300
491,Mount Road ATM,SATURDAY,NH,H,WHH,2,4,2011,509615,602200
496,Mount Road ATM,SUNDAY,NH,H,HHW,2,4,2011,509615,442300
501,Mount Road ATM,MONDAY,NH,W,HWH,3,4,2011,641143,679100
506,Mount Road ATM,TUESDAY,H,H,WHW,3,4,2011,641143,559200
511,Mount Road ATM,WEDNESDAY,NH,W,HWH,3,4,2011,641143,362400
